sample, c__Gammaproteobacteria, p__Chloroflexi_unassigned, c__MBNT15, c__Deep_Sea_Euryarchaeotic_Group(DSEG), c__TK10, c__Gracilibacteria, c__Synergistia, c__Methylomirabilia, c__Entotheonellia, c__NB1-j, c__Vicinamibacteria, c__Saccharimonadia, c__MB-A2-108, c__Cyanobacteriia,d__Bacteria_unassigned, p__Firmicutes_unassigned, c__Polyangia, c__Holophagae, c__Vampirivibrionia, c__Chloroflexia, c__Verrucomicrobiae, c__Thermoplasmata, c__Alphaproteobacteria, c__Parcubacteria, c__Oligoflexia, c__Desulfuromonadia, c__Ktedonobacteria, c__Spirochaetia, c__Rubrobacteria, c__Planctomycetes, c__Bacteroidia, c__Longimicrobia, c__Bdellovibrionia, c__Thermococci, c__Negativicutes, c__Anaerolineae, c__Babeliae, c__Fusobacteriia, c__Armatimonadia, c__Bacilli, p__Actinobacteriota_unassigned, c__Coriobacteriia, p__Armatimonadota_unassigned, c__Rhodothermia, c__Omnitrophia, c__Thermoleophilia, c__Abditibacteria, c__Acidobacteriae, c__Asgardarchaeota, c__Halobacteria, c__Acidimicrobiia, c__Thermaerobacteria, c__Desulfobulbia, c__Myxococcia, c__Aenigmarchaeia, c__Phycisphaerae, c__Deinococci, p__Proteobacteria_unassigned, c__Campylobacteria, c__Clostridia, c__Gemmatimonadetes, c__Actinobacteria, c__Blastocatellia
MASK006.V1.SKIN,31,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,20,0,0,0,13,0,0,5,0,7343,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,107,0,20357,0
MASK006.v1.throat,3493,0,0,0,0,125,0,0,0,0,0,97,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4502,0,0,0,761,0,0,1492,0,10227,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,306,0,928,0
MASK006.V2.MASK,107,0,0,0,0,0,0,0,0,0,0,2,0,6501,10,0,2,0,0,12,0,0,116,0,0,0,0,0,19,0,109,0,0,0,6,0,0,7,0,3520,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,0,57,0,0,32,0,16212,0
MASK006.V2.SKIN,13,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,17,0,0,0,0,0,0,8,0,5070,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,5,0,0,75,0,23166,0
MASK006.v2.throat,3416,0,0,0,0,69,13,0,0,0,0,139,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2442,0,0,0,317,0,0,982,0,38138,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,259,0,304,0
MASK006.V3.MASK,98,0,0,0,0,0,0,0,0,0,0,5,0,114,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,51,0,0,0,24,0,0,7,0,11933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,141,0,9818,0
MASK006.V3.SKIN,12,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,16,0,0,0,4,0,0,3,0,8438,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,65,0,20468,0
MASK006.v3.throat,17730,0,0,0,0,142,0,0,0,0,0,295,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,29,0,0,6645,0,0,0,1061,0,0,1769,0,96545,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,568,0,2343,0
MASK007.V1.MASK,257,0,0,0,0,2,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,13,0,0,0,0,20,13,0,392,0,0,0,145,0,0,254,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,129,0,25988,0
MASK007.V1.SKIN,16,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,0,8,0,5050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,24189,0
MASK007.v1.throat,1103,0,0,0,0,187,7,0,0,0,0,187,0,64,24,23,0,0,0,0,0,0,0,0,0,0,0,1301,0,0,14049,0,0,0,7467,0,0,15838,0,15194,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,3850,0,13966,0
MASK007.V2.SKIN,242,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,3,3,5072,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,594,0,25737,0
MASK007.v2.throat,1088,0,0,0,0,32,0,0,0,0,0,95,0,19,21,15,0,0,0,0,0,0,0,0,0,0,0,53,0,0,3128,0,0,0,1666,0,0,2154,0,7593,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,396,0,1660,0
MASK007.V3.MASK,334,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,16,0,0,0,0,0,2,0,180,0,0,0,44,0,0,89,0,3665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,175,0,15817,0
MASK007.V3.SKIN,82,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,36,0,0,0,25,0,0,30,0,9863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,20297,0
MASK007.v3.throat,2078,0,0,0,0,19,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1014,0,0,0,419,0,0,280,0,12689,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,66,0,803,0
